idx,lambda_full,lambda_mix_zehntel,lambda_mix_equalized,lambda_full_with_Morley_phases_on_W_edges
0,2.55351295663786e-14,4.596323318859952e-14,0.0,15.389175323419071
1,1.9974200908064397,1.7644813051122585,1.9226104072207029,15.39052949060993
2,1.997859271825144,1.7651059613165336,1.922899985214765,15.482996568508332
3,1.998656472019604,1.7653039002236366,1.9237049961961816,15.591263957832515
4,5.822704836058281,4.887750391926911,5.613838509354582,15.608560052510903
5,5.829105419376305,4.8925577693116775,5.619156135985169,15.651408579851351
6,5.840312221366924,4.899727342302297,5.628358371857132,16.008624126796466
7,5.8555900309334135,4.911705509719858,5.639290455514458,16.009600907044035
8,5.857096286528576,4.912022783944881,5.6410960592146795,16.119148571430117
9,10.350939269519332,7.1647969413593895,10.200148015519376,16.349996008892973
10,10.378473384696875,7.173216593252147,10.20679811012249,16.37472584047065
11,10.379718156957901,7.174273377956642,10.2135957287839,16.545067213186375
12,12.067532314980014,14.034914690117493,10.240263112208352,16.618215250418064
13,12.070843422928135,14.040314738753056,11.990011547984487,16.667441769444423
14,12.08623292027374,14.074825393360824,12.028059111740463,16.693981849166935
15,12.129627800476321,14.14663189868809,12.032382781194396,16.702977504108656
16,16.92484888436562,16.68982089934286,17.163279638094455,17.067924600528407
17,16.953870001129484,16.744470143700294,17.188676839649236,17.069014538377118
18,17.007127647992508,16.80010395501897,17.2238657501109,17.348848734561756
19,17.052464738842094,16.82449497106727,17.299584570640135,17.44978015603009
20,17.128698003902386,16.910105248244072,17.381521497771473,17.4934895003634
21,19.30908762376415,19.049964000917452,17.388786402806268,17.53556478927002
22,19.337531559101027,19.13485213733768,17.42503865490824,17.611692347581677
23,19.35394760782472,19.16064338381345,17.46962141443923,17.922545601980296
24,19.493780517068938,19.233238640874312,17.529038873924712,17.923342802831016
25,22.442135470659558,22.205279470186596,22.22297332578949,18.852729286929648
26,22.481453112315236,22.305666983708296,22.224819294698502,18.858681747681736
27,22.52864943252442,22.365970118278636,22.27706417765116,18.991055738075158
28,25.563602626037277,22.378471093397557,22.56903807890195,19.30655056200585
29,25.674102783074947,22.49719684391487,22.585052753434717,19.338251929893566
