node,degree,strength
5,94,2093.549487561287
17,94,2093.549487561287
29,94,2093.549487561287
41,94,2093.549487561287
53,94,1973.4478824759447
89,94,1507.0962169890188
101,94,1411.4668843395657
113,94,1324.084449794856
137,94,1149.9740811959673
149,94,1082.4779545228644
173,94,988.8017805032998
197,94,935.0243049479059
233,94,806.0848436176238
257,94,806.0848436176238
269,94,762.4983510635253
281,94,691.8202540808455
293,94,691.8202540808455
317,94,691.8202540808455
353,94,643.0875948713696
389,94,643.0875948713696
401,94,643.0875948713696
449,94,542.7372543174529
461,94,498.39315173157496
509,94,440.59846049329724
521,94,440.59846049329724
557,94,440.59846049329724
569,94,440.59846049329724
593,94,379.92945145240196
617,94,314.82184329012466
641,94,314.82184329012466
653,94,314.82184329012466
677,94,314.82184329012466
701,94,314.82184329012466
761,94,314.82184329012466
773,94,314.82184329012466
797,94,314.82184329012466
809,94,314.82184329012466
821,94,314.82184329012466
857,78,289.3450269701641
881,52,247.94520045022804
929,52,247.94520045022804
941,52,247.94520045022804
953,52,247.94520045022804
977,52,172.79150255828299
1013,52,172.79150255828299
1049,52,172.79150255828299
1061,52,172.79150255828299
1097,52,172.79150255828299
1109,52,172.79150255828299
1181,52,172.79150255828299
1193,52,172.79150255828299
1217,52,172.79150255828299
1229,52,172.79150255828299
1277,39,62.09973977990491
1289,39,62.09973977990491
1301,39,62.09973977990491
1361,39,62.09973977990491
1373,39,62.09973977990491
1409,39,62.09973977990491
1433,39,62.09973977990491
1481,39,62.09973977990491
1493,39,62.09973977990491
1553,39,62.09973977990491
1601,39,62.09973977990491
1613,39,62.09973977990491
1637,39,62.09973977990491
1697,39,62.09973977990491
1709,39,62.09973977990491
1721,39,62.09973977990491
1733,39,62.09973977990491
1877,39,62.09973977990491
1889,39,62.09973977990491
1901,39,62.09973977990491
1913,39,62.09973977990491
1949,39,62.09973977990491
1973,39,62.09973977990491
1997,39,62.09973977990491
2069,39,62.09973977990491
2081,39,62.09973977990491
2129,38,60.507438759907345
2141,38,60.507438759907345
2153,38,60.507438759907345
2213,38,60.507438759907345
2237,38,60.507438759907345
2273,38,60.507438759907345
2297,38,60.507438759907345
2309,38,60.507438759907345
2333,38,60.507438759907345
2357,38,60.507438759907345
2381,38,60.507438759907345
2393,38,60.507438759907345
2417,38,60.507438759907345
2441,38,60.507438759907345
2477,38,60.507438759907345
2549,38,60.507438759907345
