B-Paar,C-Paar,count
7·7,11·11,787
7·7,11·23,360
7·19,11·11,278
7·7,11·47,165
7·7,23·23,163
7·31,11·11,161
7·7,11·59,130
7·19,11·23,121
7·43,11·11,110
7·7,11·71,105
19·19,11·11,92
7·7,11·83,91
7·7,23·47,73
7·31,11·23,69
7·67,11·11,67
7·7,11·107,66
7·7,23·59,55
7·19,11·47,53
7·79,11·11,53
7·7,11·131,52
7·19,23·23,52
19·31,11·11,51
7·43,11·23,49
7·7,23·71,47
7·19,11·59,46
7·103,11·11,46
19·19,11·23,44
7·7,11·167,44
7·7,23·83,41
7·7,11·179,39
19·43,11·11,38
7·19,11·71,35
7·127,11·11,34
7·31,11·47,32
7·139,11·11,29
7·67,11·23,29
7·31,23·23,29
31·31,11·11,29
7·19,11·83,27
7·151,11·11,26
7·31,11·59,24
7·79,11·23,24
7·19,23·47,24
7·163,11·11,24
19·31,11·23,23
7·43,11·47,22
7·43,23·23,21
7·19,11·107,21
7·31,11·71,19
7·19,23·59,17
7·103,11·23,17
19·19,23·23,16
7·19,11·131,16
19·19,11·47,16
19·43,11·23,15
7·43,11·59,15
7·31,11·83,15
7·19,23·71,14
31·31,11·23,13
7·139,11·23,13
7·127,11·23,13
7·67,11·47,13
7·31,23·47,13
7·19,23·83,13
7·19,11·167,13
7·43,11·71,13
19·19,11·59,13
7·67,23·23,13
7·31,11·107,12
7·19,11·179,12
19·19,11·71,11
7·79,11·47,11
7·163,11·23,11
7·151,11·23,11
7·43,11·83,11
7·31,23·59,10
7·67,11·59,10
19·31,23·23,10
7·31,11·131,10
19·31,11·47,10
7·79,23·23,10
7·31,23·71,9
7·43,11·107,9
19·19,11·83,9
7·67,11·71,9
7·79,11·59,9
7·43,23·47,9
7·103,11·47,8
7·31,11·167,7
7·103,23·23,7
19·19,23·47,7
7·43,23·59,7
19·31,11·59,7
7·127,23·23,6
19·43,11·59,6
31·31,23·23,6
31·31,11·47,6
7·31,11·179,6
19·43,23·23,6
19·31,11·71,6
19·43,11·47,6
7·67,11·83,6
7·79,11·71,6
7·79,11·83,6
19·19,23·59,6
19·19,11·131,6
7·67,23·47,6
19·19,11·107,6
7·103,11·59,6
7·31,23·83,6
7·43,11·131,6
7·139,23·23,6
7·139,11·47,6
7·127,11·47,6
7·43,23·71,6
7·151,11·47,5
19·31,11·83,5
19·19,23·71,4
7·79,23·47,4
7·163,11·47,4
7·43,11·179,4
7·127,11·59,4
7·163,23·23,4
7·139,11·59,4
7·43,11·167,4
7·151,23·23,4
19·31,23·47,4
7·103,11·71,4
7·79,11·107,4
19·43,11·71,4
7·43,23·83,4
7·67,11·107,4
31·31,11·59,4
7·67,23·59,4
7·67,11·131,3
7·67,11·167,3
7·67,23·83,3
7·67,23·71,3
7·79,23·59,3
7·79,23·71,3
7·79,11·131,3
7·151,11·59,3
7·139,11·83,3
7·103,23·47,3
19·43,11·83,3
19·43,23·47,3
7·127,11·83,3
7·127,11·71,3
31·31,11·71,3
31·31,11·83,3
7·151,11·71,3
7·103,11·107,3
19·31,23·59,3
19·31,11·131,3
19·31,11·107,3
19·19,23·83,3
7·163,11·59,3
7·163,11·71,3
7·103,11·83,3
19·19,11·179,3
19·19,11·167,3
7·139,11·71,3
7·103,23·59,2
7·67,11·179,2
31·31,23·47,2
7·127,11·107,2
7·127,23·47,2
7·79,23·83,2
7·139,23·47,2
19·43,11·107,2
7·163,11·83,2
19·31,23·71,2
7·151,11·83,2
7·79,11·167,2
7·103,11·131,2
31·31,11·167,1
19·43,23·71,1
31·31,23·83,1
31·31,23·71,1
19·43,23·59,1
19·31,11·167,1
19·31,11·179,1
31·31,23·59,1
7·79,11·179,1
19·43,11·167,1
19·43,23·83,1
31·31,11·107,1
19·43,11·179,1
31·31,11·179,1
31·31,11·131,1
19·43,11·131,1
19·31,23·83,1
7·163,23·83,1
7·103,11·167,1
7·103,11·179,1
7·163,23·59,1
7·163,23·47,1
7·163,11·179,1
7·163,11·167,1
7·163,11·131,1
7·163,11·107,1
7·151,23·83,1
7·151,23·71,1
7·151,23·59,1
7·151,23·47,1
7·151,11·179,1
7·151,11·167,1
7·151,11·131,1
7·151,11·107,1
7·139,23·83,1
7·139,23·71,1
7·139,23·59,1
7·139,11·179,1
7·139,11·167,1
7·139,11·131,1
7·139,11·107,1
7·127,23·83,1
7·127,23·71,1
7·127,23·59,1
7·127,11·179,1
7·127,11·167,1
7·127,11·131,1
7·163,23·71,1
7·103,23·71,1
7·103,23·83,1
