W,Delta_11,Delta_17,Delta_29,Delta_41,Delta_47,Delta_59,P_11_47,P_17_41,S_seam_29_59,Edge_59_vs_rest,Delta_59_minus_mean_all,Dom_11_47_vs_17_41,Dom_11_47_vs_seam_abs
300,-0.04439093130927432,-0.04504353673600453,-0.04547047018313036,-0.04403772036752457,-0.042389602586075215,-0.050098130617802855,0.0020013287231991084,0.0010058163684799615,-0.004627660434672498,-0.005831678381401056,-0.004859731984500876,0.000995512354719147,-0.0026263317114733897
400,-0.05017494154478658,-0.049316816759537196,-0.05089782483509131,-0.047125382437499475,-0.044077363535543534,-0.05406671281884726,0.006097578009243043,0.002191434322037722,-0.003168887983755947,-0.005748246996355635,-0.004790205830296372,0.0039061436872053212,0.0029286900254870962
500,-0.028825471124733826,-0.026212715937696196,-0.029862966194298735,-0.024072114555175217,-0.019027180366107677,-0.031489626042643104,0.00979829075862615,0.002140601382520979,-0.0016266598483443695,-0.005889536407040773,-0.004907947005867313,0.00765768937610517,0.00817163091028178
600,-0.05676116708441825,-0.054368004036621564,-0.05821070755605229,-0.05402551458973065,-0.04767352923311147,-0.05827112238349963,0.009087637851306785,0.00034248944689091454,-6.04148274473415e-05,-0.004063337883512784,-0.003386114902927319,0.00874514840441587,0.009027223023859443
700,-0.02989061085522865,-0.02798294218041214,-0.02844710571467357,-0.02468595243378613,-0.02132611752955843,-0.03095374395374262,0.00856449332567022,0.003296989746626011,-0.002506638239069048,-0.004487198211010835,-0.00373933184250903,0.005267503579044208,0.0060578550866011716
800,-0.025328952220410594,-0.020843635012363693,-0.023096984100668738,-0.019623456819371055,-0.015469073133234978,-0.026121006510632927,0.009859879087175616,0.001220178192992638,-0.003024022409964189,-0.005248586253423115,-0.004373821877852596,0.008639700894182978,0.006835856677211427
900,-0.034983256796042805,-0.030734382276570882,-0.0323589857249591,-0.02904500679651245,-0.026193831908941645,-0.0361605055061725,0.00878942488710116,0.0016893754800584304,-0.0038015197812134027,-0.005497412805567127,-0.004581177337972607,0.00710004940704273,0.004987905105887758
1000,-0.03059163271920584,-0.02776087222407697,-0.027679487371563782,-0.028915397217153527,-0.02189103978483442,-0.0318304920545911,0.00870059293437142,-0.0011545249930765555,-0.004151004683027315,-0.004462806191224189,-0.0037190051593534897,0.009855117927447976,0.0045495882513441055
1200,-0.03108947261866757,-0.028180530468634113,-0.0303624025567909,-0.03007528287906658,-0.023112648280825265,-0.031192416866509753,0.007976824337842303,-0.0018947524104324653,-0.0008300143097188517,-0.0026283495057128695,-0.0021902912547607234,0.009871576748274768,0.0071468100281234515
1500,-0.026054322576334,-0.021867662612283567,-0.02680817824002557,-0.024738281610057977,-0.018070332908428077,-0.02384523493614421,0.007983989667905922,-0.00287061899777441,0.00296294330388136,-0.00033747934671837093,-0.0002812327889319781,0.010854608665680332,0.005021046364024562
2000,-0.008810145042916662,-0.008012395430118335,-0.010422474954121408,-0.00825708509614309,-0.006397590622598814,-0.008601095917464607,0.0024125544203178473,-0.0002446896660247555,0.0018213790366568006,-0.000221157688284946,-0.00018429807357078776,0.002657244086342603,0.0005911753836610467
3000,-0.007192157449807612,-0.007846176289285967,-0.008266939010466823,-0.007228383952467943,-0.0063816452148199865,-0.008079721796606099,0.0008105122349876259,0.0006177923368180238,0.0001872172138607242,-0.0006966614132364324,-0.0005805511776970267,0.0001927198981696021,0.0006232950211269017
