model,center_prime,Qnet,regime,Pi_obs,Pi_ker,family_tension,BridgeP_M,d_e,abc_eps_eff
Qnet_norm_bridge_k1.00,15,-0.029788905403243277,neutronic,1.0348584579997049,1.017279930992303,1.5,1.0986122886681098,2.0,-0.2492042927138107
Qnet_norm_bridge_k1.00,105,0.03599536287461613,neutronic,0.9742034262510412,0.9870174396894116,1.4330127018922192,-1.0986122886681098,4.0,-0.1614297007738009
Qnet_norm_bridge_k1.00,195,-0.08117821903167492,neutronic,1.006543519767289,1.0032664251171215,4.224744871391589,1.9459101490553128,2.0,-0.1452269254974167
Qnet_norm_bridge_k1.00,825,0.11137570241546794,neutronic,0.9967611538478448,0.9983792635305708,8.48746859276655,-2.5649493574615367,4.0,-0.1177045210828616
Qnet_norm_bridge_k1.00,1875,-0.11746163456871227,neutronic,1.0007079485176955,1.000353911632126,9.58602010819715,2.70805020110221,2.0,-0.1062445334593482
Qnet_norm_bridge_k1.00,1485,0.11835914503850134,neutronic,0.998202250660999,0.9991007209791208,9.8613807855649,-2.70805020110221,4.0,-0.1092663000117146
Qnet_norm_bridge_k1.00,2085,0.11861782091415699,neutronic,0.998720001253517,0.9993597956959832,9.692582403567252,-2.70805020110221,4.0,-0.1049235661192199
Qnet_norm_bridge_k1.00,3465,0.129219902311377,neutronic,0.9992300291469914,0.9996149404380624,9.680951323690902,-2.9444389791664403,4.0,-0.0990322046139134
Qnet_norm_bridge_k1.00,9435,-0.13247311907443932,neutronic,1.000141192954927,1.0000705939857082,13.937003937005905,3.044522437723423,2.0,-0.0891594626526859
Qnet_norm_bridge_k1.00,3255,-0.13632142093728172,neutronic,1.000408577104691,1.0002042676897012,11.112474899497183,3.1354942159291497,2.0,-0.0997213909610171
Qnet_norm_bridge_k1.00,13005,0.14488365248592258,neutronic,0.9997949243835286,0.9998974569342242,17.9180788932265,-3.295836866004329,4.0,-0.0864000792360371
Qnet_norm_bridge_k1.00,19425,0.148045439776331,neutronic,0.9998627080846112,0.99993135168601,19.385164807134505,-3.367295829986474,4.0,-0.0831813778090698
Qnet_norm_bridge_k1.00,18915,-0.15229275869542938,neutronic,1.0000704597341483,1.0000352292465242,22.442049363362564,3.49650756146648,2.0,-0.0833873698107794
Qnet_norm_bridge_k1.00,5655,-0.15478582978792704,neutronic,1.0002354320196758,1.0001177090821238,23.51920240520265,3.555348061489413,2.0,-0.0939453951839969
Qnet_norm_bridge_k1.00,21015,-0.15730424228808676,neutronic,1.0000634215835904,1.000031710289024,25.15454401062709,3.610917912644224,2.0,-0.0825781498536513
Qnet_norm_bridge_k1.00,16065,0.1586948961587723,neutronic,0.9998339904571908,0.9999169917834132,25.51664818918645,-3.610917912644224,4.0,-0.0846744986046937
Qnet_norm_bridge_k1.00,15735,-0.16178697943691647,neutronic,1.0000846919057893,1.0000423450563427,28.381527307120106,3.713572066704308,2.0,-0.0848409321119221
Qnet_norm_bridge_k1.00,15645,0.1631860404966265,neutronic,0.9998295333505052,0.9999147630425832,28.12403840463596,-3.713572066704308,4.0,-0.0848870445298809
Qnet_norm_bridge_k1.00,55335,-0.16390205287236603,neutronic,1.0000240920309325,1.0000120459429138,28.011710179481035,3.7612001156935615,2.0,-0.0758125289116811
Qnet_norm_bridge_k1.00,25305,0.1653033502717645,neutronic,0.9998946120412752,0.9999473046322368,29.200609733428365,-3.7612001156935615,4.0,-0.0811879659824724
Qnet_norm_bridge_k1.00,22275,-0.16587415764713595,neutronic,1.00005983544288,1.0000299172739184,30.200609733428365,3.80666248977032,2.0,-0.0821372991919714
Qnet_norm_bridge_k1.00,18045,0.17099964977281462,neutronic,0.9998522076501872,0.9999261010945696,32.98262211161084,-3.8918202981106265,4.0,-0.0837544457797508
Qnet_norm_bridge_k1.00,31725,0.17103151404918776,neutronic,0.999915939897382,0.9999579690653913,33.44391338376205,-3.8918202981106265,4.0,-0.0795578028272046
Qnet_norm_bridge_k1.00,51345,0.1806359767656094,neutronic,0.9999480620659152,0.9999740306957552,41.91637528781298,-4.110873864173311,4.0,-0.0762957144545262
Qnet_norm_bridge_k1.00,62985,0.18064077599796038,neutronic,0.9999576607568594,0.9999788301543484,36.65660395791399,-4.110873864173311,4.0,-0.0749907808741704
